Tempo (s),Posição (pixel) Espira 1,Posição (metro) Espira 1,Posição (pixel) Espira meio,Posição (metro) Espira meio,Posição (pixel) Espira ultima,Posição (metro) Espira ultima,Mola
0,258,0,360,"0,153",445,"0,2805",1
"0,04152",310,"0,078",377,"0,1785",445,"0,2805",1
"0,08308",370,"0,168",410,"0,228",445,"0,2805",1
"0,12462",422,"0,246",435,"0,2655",450,"0,288",1
0,136,0,610,"0,96696",1092,"1,95024",2
"0,04175",203,"0,13668",622,"0,99144",1092,"1,95024",2
"0,0835",310,"0,35496",630,"1,00776",1092,"1,95024",2
"0,12525",427,"0,59364",640,"1,02816",1092,"1,95024",2
"0,167",535,"0,81396",650,"1,04856",1092,"1,95024",2
"0,20875",636,"1,02",651,"1,0506",1092,"1,95024",2
"0,2505",735,"1,22196",750,"1,25256",1092,"1,95024",2
"0,29225",825,"1,40556",850,"1,45656",1090,"1,94616",2
"0,334",915,"1,58916",940,"1,64016",1090,"1,94616",2
"0,37575",1000,"1,76256",1030,"1,82376",1090,"1,94616",2
"0,4175",1073,"1,91148",1050,"1,86456",1108,"1,98288",2
"0,566666661",100,"0,213",632,"1,34616",1192,"2,53896",3
"0,899999991",259,"0,55167",627,"1,33551",1190,"2,5347",3
"1,233333321",331,"0,70503",625,"1,33125",1195,"2,54535",3
"1,566666651",447,"0,95211",622,"1,32486",1194,"2,54322",3
"1,899999981",560,"1,1928",627,"1,33551",1193,"2,54109",3
"2,233333311",670,"1,4271",682,"1,45266",1193,"2,54109",3
"2,566666641",778,"1,65714",787,"1,67631",1192,"2,53896",3
"2,899999971",886,"1,88718",895,"1,90635",1190,"2,5347",3
"3,233333301",988,"2,10444",998,"2,12574",1196,"2,54748",3
"3,566666631",1089,"2,31957",1104,"2,35152",1203,"2,56239",3
"3,766666629",1148,"2,44524",1166,"2,48358",1210,"2,5773",3
